	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
133	19	0.0514	0.6103	2.0214	0.5046	256	relu	mse
134	20	0.0502	0.6220	2.0042	0.5138	256	relu	mse
135	1	0.0900	0.1530	2.3026	0.1471	512	relu	mse
136	2	0.0881	0.1567	2.2692	0.1509	512	relu	mse
137	3	0.0859	0.1597	2.2613	0.1652	512	relu	mse
138	4	0.0848	0.1850	2.2510	0.2008	512	relu	mse
139	5	0.0836	0.2165	2.2343	0.2177	512	relu	mse
140	6	0.0827	0.2116	2.2341	0.2054	512	relu	mse
141	7	0.0820	0.2101	2.2289	0.2058	512	relu	mse
142	8	0.0814	0.2128	2.2312	0.2021	512	relu	mse
143	9	0.0809	0.2157	2.2275	0.1976	512	relu	mse
144	10	0.0804	0.2192	2.2281	0.2078	512	relu	mse
145	11	0.0800	0.2224	2.2202	0.2152	512	relu	mse
146	12	0.0798	0.2236	2.2180	0.2131	512	relu	mse
147	13	0.0787	0.2512	2.1949	0.2669	512	relu	mse
148	14	0.0766	0.2857	2.1930	0.2724	512	relu	mse
149	15	0.0757	0.2900	2.1873	0.2561	512	relu	mse
150	16	0.0746	0.3085	2.1803	0.2926	512	relu	mse
151	17	0.0735	0.3238	2.1667	0.3167	512	relu	mse
152	18	0.0717	0.3541	2.1473	0.3328	512	relu	mse
153	19	0.0706	0.3687	2.1512	0.3435	512	relu	mse
154	20	0.0691	0.4023	2.1197	0.3893	512	relu	mse
155	1	0.0900	0.1475	2.3026	0.1447	1024	relu	mse
156	2	0.0883	0.1503	2.2656	0.1556	1024	relu	mse
157	3	0.0859	0.1554	2.2597	0.1565	1024	relu	mse
158	4	0.0854	0.1575	2.2584	0.1617	1024	relu	mse
159	5	0.0851	0.1667	2.2593	0.1685	1024	relu	mse
160	6	0.0849	0.1751	2.2546	0.1721	1024	relu	mse
161	7	0.0848	0.1860	2.2570	0.1821	1024	relu	mse
162	8	0.0847	0.1885	2.2526	0.1795	1024	relu	mse
163	9	0.0847	0.1957	2.2553	0.1933	1024	relu	mse
164	10	0.0847	0.1861	2.2497	0.2121	1024	relu	mse
165	11	0.0812	0.2260	2.2298	0.2332	1024	relu	mse
166	12	0.0807	0.2405	2.2234	0.2442	1024	relu	mse
167	13	0.0802	0.2400	2.2199	0.1994	1024	relu	mse
168	14	0.0795	0.2224	2.2172	0.2054	1024	relu	mse
169	15	0.0789	0.2288	2.2085	0.2360	1024	relu	mse
170	16	0.0777	0.2609	2.2008	0.2451	1024	relu	mse
